what's your favourite colour
favourite food
hello how are you
what's your name
what's the favourite
what's your favourite animal
what's your favourite
what's your favourite colour
what is your name
what's your name
Hi how are you
what is your name
hello how are you
Hi how are you
hello how are you
hello how are you
what's your favourite food
hello how are you
LOL
hello how are you
hello how are you
Daisy
hello how are you
hello how are you
hello how are you
hello how are you
hello how are you
LOL
hello how are you
David
hello how are you
what's your favourite animal
hello how are you
hello how are you
how are you
hello how are you
Barry
how's it going
what's your name
hello how are you
Riley
[]
hello how are you
hello how are you
hello how are you
what's your favourite
what's your favourite animal
what's your favourite food
hello how are you
hello how are you
hi
tell me about yourself
hello how are you
hello how are you
Lucy
hello how are you
games
hello how are you
Daisy
hello area
I didnt catch that!
I didnt catch that!
I didnt catch that!
I didnt catch that!
hello how are you
I didnt catch that!
I didnt catch that!
hello how are you
I didnt catch that!
I didnt catch that!
James
what's your favourite animal
hello
